"ProcessName","Path","Id"
"ApplicationFrameHost","C:\Windows\system32\ApplicationFrameHost.exe","13336"
"BatteryInfoView","C:\Users\22cha\OneDrive\Desktop\BatteryInfoView.exe","18900"
"BatteryInfoView","C:\Program Files\BatteryInfoView.exe","19732"
"BatteryInfoView","C:\Users\22cha\OneDrive\Desktop\BatteryInfoView.exe","24268"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","2092"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","12876"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","15940"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","17828"
"CefSharp.BrowserSubprocess","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","22076"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","660"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","1612"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","2984"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","3060"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","3112"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","3356"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","6196"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","6244"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","7032"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","7036"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","7292"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8048"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8532"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8536"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","8976"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","9040"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","9668"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","9728"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","10288"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","10512"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","10612"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","10780"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","13332"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","13780"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","13888"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","14968"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","14972"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","15340"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","16268"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","16540"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","17116"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","17780"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","18056"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","18192"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","18436"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","18516"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","18808"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","18984"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","19580"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","20028"
"chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","20236"
