"DisplayName","Status"
"Application Information","Running"
"AppX Deployment Service (AppXSVC)","Running"
"Windows Audio Endpoint Builder","Running"
"Windows Audio","Running"
"Base Filtering Engine","Running"
"Bonjour Service","Running"
"Background Tasks Infrastructure Service","Running"
"AVCTP service","Running"
"Capability Access Manager Service","Running"
"Clipboard User Service_16635d3","Running"
"Connected Devices Platform Service","Running"
"Connected Devices Platform User Service_16635d3","Running"
"Microsoft Office Click-to-Run Service","Running"
"Client License Service (ClipSVC)","Running"
"CoreMessaging","Running"
"CortexLauncherService","Running"
"Intel(R) Content Protection HDCP Service","Running"
"Cryptographic Services","Running"
"DCOM Server Process Launcher","Running"
"Device Association Service","Running"
"Device Install Service","Running"
"DevQuery Background Discovery Broker","Running"
"DHCP Client","Running"
"Connected User Experiences and Telemetry","Running"
"Display Policy Service","Running"
"Display Enhancement Service","Running"
"DNS Client","Running"
"Diagnostic Policy Service","Running"
"Data Sharing Service","Running"
"Data Usage","Running"
"Extensible Authentication Protocol","Running"
"Encrypting File System (EFS)","Running"
"Intel(R) Dynamic Tuning service","Running"
"Windows Event Log","Running"
"COM+ Event System","Running"
"Windows Font Cache Service","Running"
"GameInput Service","Running"
"Gaming Services","Running"
"Gaming Services","Running"
"Group Policy Client","Running"
"Human Interface Device Service","Running"
"Intel(R) Graphics Command Center Service","Running"
"Intel(R) HD Graphics Control Panel Service","Running"
"IKE and AuthIP IPsec Keying Modules","Running"
"Microsoft Store Install Service","Running"
"IP Helper","Running"
"Intel(R) Dynamic Application Loader Host Interface Service","Running"
"CNG Key Isolation","Running"
"Server","Running"
"Workstation","Running"
"Geolocation Service","Running"
"Windows License Manager Service","Running"
"LightKeeperService","Running"
"TCP/IP NetBIOS Helper","Running"
"Intel(R) Management and Security Application Local Management Service","Running"
"Local Session Manager","Running"
"Micro Star SCM","Running"
"Windows Defender Firewall","Running"
"MSI Foundation Service","Running"
"Sensor dev service","Running"
"MSI Center Service","Running"
"MSI Voice Control Service","Running"
"Mystic_Light_Service","Running"
"Nahimic service","Running"
"Network Connection Broker","Running"
"Network List Service","Running"
"Microsoft Passport Container","Running"
"Microsoft Passport","Running"
"Network Location Awareness","Running"
"Network Store Interface Service","Running"
"NVIDIA LocalSystem Container","Running"
"NVIDIA Display Container LS","Running"
"Sync Host_16635d3","Running"
"Program Compatibility Assistant Service","Running"
"Phone Service","Running"
"Plug and Play","Running"
"IPsec Policy Agent","Running"
"Power","Running"
"User Profile Service","Running"
"Remote Access Connection Manager","Running"
"Razer Game Manager","Running"
"Razer Game Manager Service 3","Running"
"Razer Synapse Service","Running"
"Radio Management Service","Running"
"RPC Endpoint Mapper","Running"
"Remote Procedure Call (RPC)","Running"
"Realtek Audio Universal Service","Running"
"Razer Central Service","Running"
"Security Accounts Manager","Running"
"Task Scheduler","Running"
"Windows Security Service","Running"
"Payments and NFC/SE Manager","Running"
"System Event Notification Service","Running"
"System Guard Runtime Monitor Broker","Running"
"Shell Hardware Detection","Running"
"Print Spooler","Running"
"SSDP Discovery","Running"
"Secure Socket Tunneling Protocol Service","Running"
"State Repository Service","Running"
"Storage Service","Running"
"SysMain","Running"
"System Events Broker","Running"
"Touch Keyboard and Handwriting Panel Service","Running"
"Telephony","Running"
"Themes","Running"
"THXService","Running"
"Time Broker","Running"
"Thrustmaster? Device Driver Installer","Running"
"Web Account Manager","Running"
"Distributed Link Tracking Client","Running"
"User Manager","Running"
"Update Orchestrator Service","Running"
"Credential Manager","Running"
"VMware Authorization Service","Running"
"VMware DHCP Service","Running"
"VMware USB Arbitration Service","Running"
"VMware NAT Service","Running"
"Windows Time","Running"
"Windows Connection Manager","Running"
"Diagnostic Service Host","Running"
"Microsoft Defender Antivirus Network Inspection Service","Running"
"Microsoft Defender Antivirus Service","Running"
"WinHTTP Web Proxy Auto-Discovery Service","Running"
"Windows Management Instrumentation","Running"
"WLAN AutoConfig","Running"
"Windows Push Notifications System Service","Running"
"Windows Push Notifications User Service_16635d3","Running"
"Security Center","Running"
"Windows Search","Running"
"Windows Update","Running"
